               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.024847,           0.0081374,                   0,             0.99996,                   1,               0.995,              0.8212,            0.010812,           0.0027255,                   0,           0.0098324,           0.0098324,           0.0098324
                  63,            0.027108,           0.0084739,                   0,             0.99998,                   1,               0.995,              0.7452,            0.012479,           0.0027616,                   0,           0.0098269,           0.0098269,           0.0098269
                  64,            0.026825,           0.0078796,                   0,             0.99999,                   1,               0.995,             0.84297,            0.013802,           0.0026276,                   0,           0.0098213,           0.0098213,           0.0098213
                  65,            0.023839,           0.0077472,                   0,             0.99999,                   1,               0.995,               0.851,            0.012222,           0.0027176,                   0,           0.0098156,           0.0098156,           0.0098156
                  66,            0.024077,           0.0080502,                   0,             0.99995,                   1,               0.995,             0.82743,            0.012691,            0.002682,                   0,           0.0098099,           0.0098099,           0.0098099
                  67,            0.027779,           0.0081856,                   0,             0.99998,                   1,               0.995,             0.79614,            0.012727,           0.0026764,                   0,            0.009804,            0.009804,            0.009804
                  68,            0.025746,           0.0088161,                   0,             0.99998,                   1,               0.995,              0.8118,            0.012033,           0.0026908,                   0,           0.0097981,           0.0097981,           0.0097981
                  69,            0.025997,           0.0080057,                   0,                   1,             0.99999,               0.995,             0.82893,            0.010428,            0.002757,                   0,           0.0097921,           0.0097921,           0.0097921
                  70,            0.024062,           0.0078719,                   0,             0.99997,                   1,               0.995,             0.85869,            0.010332,           0.0026954,                   0,            0.009786,            0.009786,            0.009786
                  71,            0.024371,           0.0077133,                   0,             0.99993,                   1,               0.995,             0.80318,            0.012799,           0.0026504,                   0,           0.0097798,           0.0097798,           0.0097798
                  72,            0.023346,           0.0076293,                   0,                   1,                   1,               0.995,             0.85287,            0.011691,           0.0025253,                   0,           0.0097735,           0.0097735,           0.0097735
                  73,            0.022537,           0.0078246,                   0,                   1,                   1,               0.995,             0.83365,            0.011154,           0.0025213,                   0,           0.0097671,           0.0097671,           0.0097671
                  74,            0.021582,           0.0079692,                   0,             0.99998,                   1,               0.995,             0.85051,             0.01005,           0.0023206,                   0,           0.0097606,           0.0097606,           0.0097606
                  75,            0.022478,              0.0076,                   0,             0.99996,                   1,               0.995,             0.83651,             0.01362,           0.0025436,                   0,           0.0097541,           0.0097541,           0.0097541
                  76,            0.021633,           0.0076883,                   0,             0.99998,                   1,               0.995,             0.87106,            0.011382,           0.0026637,                   0,           0.0097475,           0.0097475,           0.0097475
                  77,            0.022015,           0.0079133,                   0,             0.99999,                   1,               0.995,             0.83932,            0.011355,           0.0026698,                   0,           0.0097408,           0.0097408,           0.0097408
                  78,            0.021648,            0.007123,                   0,             0.99999,                   1,               0.995,             0.85093,           0.0089374,           0.0025303,                   0,            0.009734,            0.009734,            0.009734
                  79,            0.021665,           0.0079537,                   0,             0.99999,                   1,               0.995,             0.84701,            0.011269,           0.0026055,                   0,           0.0097271,           0.0097271,           0.0097271
                  80,            0.021445,           0.0074852,                   0,             0.99996,                   1,               0.995,              0.8487,             0.01071,           0.0027058,                   0,           0.0097201,           0.0097201,           0.0097201
                  81,            0.021422,           0.0075853,                   0,             0.99999,                   1,               0.995,              0.8632,           0.0099253,           0.0026404,                   0,           0.0097131,           0.0097131,           0.0097131
